iter	Passed	Remaining
457	816	966
458	818	964
459	819	961
460	820	959
461	821	956
462	822	954
463	824	952
464	825	949
465	826	947
466	828	945
467	829	942
468	830	940
469	831	938
470	833	935
471	834	933
472	835	931
473	836	928
474	838	926
475	839	924
476	841	922
477	842	920
478	844	918
479	845	916
480	847	914
481	848	911
482	849	909
483	851	907
484	852	905
485	853	902
486	854	900
487	856	898
488	858	896
489	859	894
490	861	892
491	862	890
492	863	888
493	865	886
494	866	883
495	867	881
496	869	879
497	870	877
498	871	875
499	873	873
500	874	871
501	876	869
502	877	866
503	878	864
504	880	862
505	881	860
506	882	858
507	884	856
508	885	854
509	887	852
510	888	850
511	889	848
512	891	846
513	892	844
514	894	842
515	895	840
516	896	837
517	898	835
518	899	833
519	901	831
520	902	829
521	904	828
522	906	826
523	907	824
524	909	822
525	910	820
526	911	818
527	913	816
528	915	814
529	916	813
530	918	811
531	919	809
532	921	807
533	923	805
534	924	803
535	926	801
536	927	799
537	929	797
538	930	796
539	932	794
540	934	792
541	935	790
542	936	788
543	938	786
544	939	784
545	941	782
546	942	780
547	944	779
548	946	777
549	948	775
550	949	773
551	951	772
552	952	769
553	953	767
554	955	766
555	957	764
556	958	762
557	960	760
558	961	758
559	963	756
560	964	755
561	966	753
562	968	751
563	969	749
564	971	747
565	972	745
566	974	743
567	976	742
568	977	740
569	979	738
570	981	737
571	982	735
572	984	733
573	986	731
574	987	729
575	989	728
576	990	726
577	992	724
578	993	722
579	995	720
580	997	719
581	998	717
582	1000	715
583	1002	713
584	1004	712
585	1005	710
586	1007	708
587	1008	706
588	1010	704
589	1011	703
590	1013	701
591	1014	699
592	1016	697
593	1018	695
594	1019	694
595	1021	692
596	1023	690
597	1025	689
598	1026	687
599	1028	685
600	1029	683
601	1031	681
602	1032	680
603	1034	678
604	1036	676
605	1037	674
606	1038	672
607	1040	670
608	1041	668
609	1043	666
610	1044	665
611	1046	663
612	1047	661
613	1049	659
614	1050	657
615	1051	655
616	1053	653
617	1054	651
618	1055	649
619	1056	647
620	1058	645
621	1059	643
622	1060	641
623	1062	640
624	1063	638
625	1065	636
626	1066	634
627	1068	632
628	1069	630
629	1070	628
630	1072	627
631	1073	625
632	1074	623
633	1076	621
634	1077	619
635	1079	617
636	1080	615
637	1082	613
638	1083	612
639	1084	610
640	1085	608
641	1086	606
642	1088	604
643	1089	602
644	1090	600
645	1092	598
646	1093	596
647	1094	594
648	1096	592
649	1097	590
650	1098	588
651	1099	587
652	1101	585
653	1102	583
654	1103	581
655	1105	579
656	1106	577
657	1107	575
658	1109	573
659	1110	572
660	1112	570
661	1113	568
662	1115	566
663	1116	565
664	1117	563
665	1119	561
666	1120	559
667	1122	557
668	1123	555
669	1124	554
670	1126	552
671	1127	550
672	1129	548
673	1130	546
674	1131	544
675	1133	543
676	1134	541
677	1135	539
678	1136	537
679	1137	535
680	1139	533
681	1140	531
682	1142	530
683	1143	528
684	1144	526
685	1145	524
686	1147	522
687	1148	520
688	1149	518
689	1150	517
690	1152	515
691	1153	513
692	1154	511
693	1156	509
694	1157	507
695	1158	506
696	1159	504
697	1161	502
698	1162	500
699	1163	498
700	1164	496
701	1166	495
702	1167	493
703	1168	491
704	1170	489
705	1171	487
706	1172	486
707	1174	484
708	1175	482
709	1177	480
710	1178	479
711	1179	477
712	1181	475
713	1182	473
714	1183	471
715	1185	470
716	1186	468
717	1188	466
718	1189	464
719	1190	463
720	1192	461
721	1193	459
722	1194	457
723	1196	455
724	1197	454
725	1198	452
726	1200	450
727	1201	448
728	1202	447
729	1204	445
730	1205	443
731	1207	441
732	1208	440
733	1209	438
734	1210	436
735	1212	434
736	1213	433
737	1214	431
738	1216	429
739	1217	427
740	1218	426
741	1220	424
742	1221	422
743	1222	420
744	1223	418
745	1225	417
746	1226	415
747	1227	413
748	1228	411
749	1230	410
750	1231	408
751	1232	406
752	1234	404
753	1235	403
754	1236	401
755	1237	399
756	1239	397
757	1240	395
758	1241	394
759	1242	392
760	1244	390
761	1245	389
762	1246	387
763	1248	385
764	1249	383
765	1250	381
766	1251	380
767	1252	378
768	1253	376
769	1255	374
770	1256	373
771	1257	371
772	1258	369
773	1260	368
774	1261	366
775	1263	364
776	1264	362
777	1265	361
778	1266	359
779	1268	357
780	1269	355
781	1270	354
782	1271	352
783	1273	350
784	1274	349
785	1276	347
786	1277	345
787	1278	344
788	1279	342
789	1281	340
790	1282	338
791	1283	337
792	1285	335
793	1286	333
794	1287	332
795	1289	330
796	1290	328
797	1291	327
798	1293	325
799	1294	323
800	1295	321
801	1296	320
802	1298	318
803	1299	316
804	1300	315
805	1301	313
806	1303	311
807	1304	310
808	1306	308
809	1307	306
810	1309	305
811	1310	303
812	1311	301
813	1313	300
814	1314	298
815	1315	296
816	1317	295
817	1318	293
818	1319	291
819	1321	290
820	1322	288
821	1323	286
822	1325	284
823	1326	283
824	1327	281
825	1328	279
826	1329	278
827	1331	276
828	1332	274
829	1333	273
830	1335	271
831	1336	269
832	1337	268
833	1339	266
834	1340	264
835	1341	263
836	1342	261
837	1344	259
838	1345	258
839	1346	256
840	1347	254
841	1349	253
842	1350	251
843	1351	249
844	1353	248
845	1354	246
846	1355	244
847	1356	243
848	1358	241
849	1359	239
850	1360	238
851	1361	236
852	1363	234
853	1364	233
854	1365	231
855	1367	229
856	1368	228
857	1369	226
858	1370	225
859	1371	223
860	1373	221
861	1374	220
862	1375	218
863	1376	216
864	1378	215
865	1379	213
866	1381	211
867	1382	210
868	1383	208
869	1385	206
870	1386	205
871	1387	203
872	1388	202
873	1390	200
874	1391	198
875	1392	197
876	1394	195
877	1395	193
878	1396	192
879	1397	190
880	1399	188
881	1400	187
882	1401	185
883	1402	184
884	1403	182
885	1405	180
886	1406	179
887	1407	177
888	1409	175
889	1410	174
890	1411	172
891	1413	171
892	1414	169
893	1415	167
894	1416	166
895	1418	164
896	1419	162
897	1420	161
898	1421	159
899	1422	158
900	1424	156
901	1425	154
902	1427	153
903	1428	151
904	1429	150
905	1430	148
906	1432	146
907	1433	145
908	1434	143
909	1435	142
910	1437	140
911	1438	138
912	1440	137
913	1441	135
914	1443	134
915	1444	132
916	1445	130
917	1446	129
918	1447	127
919	1449	126
920	1450	124
921	1451	122
922	1453	121
923	1454	119
924	1456	118
925	1457	116
926	1458	114
927	1460	113
928	1461	111
929	1463	110
930	1464	108
931	1465	106
932	1467	105
933	1468	103
934	1470	102
935	1472	100
936	1473	99
937	1475	97
938	1476	95
939	1478	94
940	1479	92
941	1481	91
942	1482	89
943	1484	88
944	1486	86
945	1487	84
946	1488	83
947	1490	81
948	1491	80
949	1493	78
950	1494	77
951	1495	75
952	1497	73
953	1498	72
954	1499	70
955	1501	69
956	1502	67
957	1503	65
958	1505	64
959	1506	62
960	1508	61
961	1509	59
962	1510	58
963	1512	56
964	1513	54
965	1514	53
966	1516	51
967	1518	50
968	1519	48
969	1521	47
970	1522	45
971	1524	43
972	1525	42
973	1527	40
974	1528	39
975	1530	37
976	1531	36
977	1532	34
978	1534	32
979	1535	31
980	1537	29
981	1538	28
982	1539	26
983	1541	25
984	1542	23
985	1544	21
986	1545	20
987	1546	18
988	1548	17
989	1550	15
990	1551	14
991	1553	12
992	1554	10
993	1556	9
994	1557	7
995	1559	6
996	1560	4
997	1561	3
998	1563	1
999	1565	0
